Species ID;ITIS code;Catalogue of Life;Class;Order;Family;Species
a;a;a;a;a;a;a
A1;662323;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes cisternasii
A2;662324;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes dickhilleni
A3;662326;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes muletensis
A4;662327;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Alytes obstetricans
A5;661625;v1.9 rev 2126ab0;Amphibia;Anura;Bombinatoridae;Bombina bombina
A6;661631;v1.9 rev 2126ab0;Amphibia;Anura;Bombinatoridae;Bombina pachypus
A7;661632;v1.9 rev 2126ab0;Amphibia;Anura;Bombinatoridae;Bombina variegata
A8;173480;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Bufo bufo
A9;773560;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Epidalea calamita
A10;585630;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Bufo verrucosissimus
A11;1103405;v1.9 rev 2126ab0;Amphibia;Anura;Bufonidae;Bufotes viridis
A12;668361;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Chioglossa lusitanica
A13;662328;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus galganoi
A14;662329;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus jeanneae
A15;773324;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus montalentii
A16;662330;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus pictus
A17;662331;v1.9 rev 2126ab0;Amphibia;Anura;Alytidae;Discoglossus sardus
A18;775916;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Calotriton asper
A19;668372;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Euproctus montanus
A20;668373;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Euproctus platycephalus
A21;662424;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla arborea
A22;662524;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla intermedia
A23;662563;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla meridionalis
A24;662633;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla sarda
A25;662634;v1.9 rev 2126ab0;Amphibia;Anura;Hylidae;Hyla savignyi
A26;775923;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra antalyana
A27;775924;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra atifi
A28;775925;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra billae
A29;775926;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra fazilae
A30;775927;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra flavimembris
A31;775928;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra helverseni
A32;775929;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lyciasalamandra luschani
A33;668374;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Mertensiella caucasica
A34;668375;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Neurergus crocatus
A35;668378;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Neurergus strauchii
A36;664729;v1.9 rev 2126ab0;Amphibia;Anura;Pelobatidae;Pelobates cultripes
A37;664730;v1.9 rev 2126ab0;Amphibia;Anura;Pelobatidae;Pelobates fuscus
A38;664731;v1.9 rev 2126ab0;Amphibia;Anura;Pelobatidae;Pelobates syriacus
A39;664733;v1.9 rev 2126ab0;Amphibia;Anura;Pelodytidae;Pelodytes caucasicus
A40;664734;v1.9 rev 2126ab0;Amphibia;Anura;Pelodytidae;Pelodytes ibericus
A41;664735;v1.9 rev 2126ab0;Amphibia;Anura;Pelodytidae;Pelodytes punctatus
A42;668389;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Pleurodeles waltl
A43;208253;v1.9 rev 2126ab0;Amphibia;Caudata;Proteidae;Proteus anguinus
A44;665263;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana arvalis
A45;775178;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax bedriagae
A46;775179;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax bergeri
A47;775181;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax cerigensis
A48;775183;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax cretensis
A49;665296;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana dalmatina
A50;775185;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax epeiroticus
A51;775188;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax esculentus
A52;665317;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana graeca
A53;n/a;n/a;Amphibia;Anura;Ranidae;Pelophylax kl. grafi
A54;n/a;n/a;Amphibia;Anura;Ranidae;Pelophylax kl. hispanicus
A55;665335;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana iberica
A56;665338;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana italica
A57;775188;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax kurtmuelleri
A58;665351;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana latastei
A59;775190;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax lessonae
A60;665365;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana macrocnemis
A61;775192;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax perezi
A62;665405;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana pyrenaica
A63;775195;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax ridibundus
A64;775197;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Pelophylax shqipericus
A65;775212;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana tavasensis
A66;173444;v1.9 rev 2126ab0;Amphibia;Anura;Ranidae;Rana temporaria
A67;668391;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandra atra
A68;668392;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandra corsica
A69;668393;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandra infraimmaculata
A70;668394;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandra lanzai
A71;668396;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandra salamandra
A72;668238;v1.9 rev 2126ab0;Amphibia;Caudata;Hynobiidae;Salamandrella keyserlingii
A73;775937;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandrina perspicillata
A74;775938;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Salamandrina terdigitata
A75;668339;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes ambrosii
A76;668340;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes flavus
A77;668341;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes genei
A78;668342;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes imperialis
A79;668343;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes italicus
A80;775912;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes sarrabusensis
A81;668344;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes strinatii
A82;668345;v1.9 rev 2126ab0;Amphibia;Caudata;Plethodontidae;Speleomantes supramontis
A83;775917;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Ichthyosaura alpestris
A84;775918;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lissotriton boscai
A85;668400;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Triturus carnifex
A86;668401;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Triturus cristatus
A87;668402;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Triturus dobrogicus
A88;775919;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lissotriton helveticus
A89;775920;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lissotriton italicus
A90;668405;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Triturus karelinii
A91;668406;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Triturus marmoratus
A92;775921;v1.9 rev 2126ab0;Amphibia;Caudata;Salamandridae;Lissotriton montandoni
