sourceTaxonId,targetTaxonId
A15,A19
A15,A19
A15,A20
A15,A20
A16,A16
A17,A19
A17,A19
A17,A20
A17,A20
A18,A1
A18,A2
A18,A3
A18,A4
A18,A5
A18,A6
A18,A7
A18,A8
A18,A9
A18,A10
A18,A11
A18,A12
A18,A13
A18,A14
A18,A15
A18,A16
A18,A17
A18,A18
A18,A19
A18,A20
A18,A21
A18,A22
A18,A23
A18,A24
A18,A25
A18,A36
A18,A37
A18,A38
A18,A39
A18,A40
A18,A41
A18,A44
A18,A45
A18,A46
A18,A47
A18,A48
A18,A49
A18,A50
A18,A51
A18,A52
A18,A53
A18,A54
A18,A55
A18,A56
A18,A57
A18,A58
A18,A59
A18,A60
A18,A61
A18,A62
A18,A63
A18,A64
A18,A65
A18,A66
A18,A68
A18,A69
A18,A71
A18,A73
A18,A74
A18,A84
A18,A85
A18,A86
A18,A87
A18,A88
A18,A89
A18,A90
A18,A91
A18,A92
A18,A93
A18,A95
A18,A96
A18,A98
A18,A99
A18,A100
A18,A101
A18,A102
A18,A103
A18,A104
A19,A1
A19,A2
A19,A3
A19,A4
A19,A5
A19,A6
A19,A7
A19,A9
A19,A11
A19,A12
A19,A13
A19,A14
A19,A15
A19,A16
A19,A17
A19,A18
A19,A19
A19,A19
A19,A20
A19,A21
A19,A22
A19,A23
A19,A24
A19,A25
A19,A33
A19,A34
A19,A35
A19,A36
A19,A37
A19,A38
A19,A39
A19,A40
A19,A41
A19,A42
A19,A44
A19,A45
A19,A46
A19,A47
A19,A48
A19,A49
A19,A50
A19,A51
A19,A52
A19,A53
A19,A54
A19,A55
A19,A56
A19,A57
A19,A58
A19,A59
A19,A60
A19,A61
A19,A62
A19,A63
A19,A64
A19,A65
A19,A66
A19,A68
A19,A69
A19,A71
A19,A73
A19,A74
A19,A83
A19,A84
A19,A85
A19,A86
A19,A87
A19,A88
A19,A89
A19,A90
A19,A91
A19,A92
A19,A93
A19,A94
A19,A95
A19,A96
A19,A97
A19,A98
A19,A99
A19,A100
A19,A101
A19,A102
A19,A103
A19,A104
A36,A36
A36,A37
A36,A38
A36,A39
A36,A40
A36,A41
A36,A44
A36,A45
A36,A46
A36,A47
A36,A48
A36,A49
A36,A50
A36,A51
A36,A52
A36,A53
A36,A54
A36,A55
A36,A56
A36,A57
A36,A58
A36,A59
A36,A60
A36,A61
A36,A62
A36,A63
A36,A64
A36,A65
A36,A66
A36,A72
A36,A96
A36,A98
A42,A1
A42,A2
A42,A3
A42,A4
A42,A5
A42,A6
A42,A7
A42,A8
A42,A9
A42,A10
A42,A11
A42,A12
A42,A13
A42,A14
A42,A15
A42,A16
A42,A17
A42,A18
A42,A19
A42,A20
A42,A21
A42,A22
A42,A23
A42,A24
A42,A25
A42,A33
A42,A34
A42,A35
A42,A36
A42,A37
A42,A38
A42,A39
A42,A40
A42,A41
A42,A42
A42,A44
A42,A45
A42,A46
A42,A47
A42,A48
A42,A49
A42,A50
A42,A51
A42,A52
A42,A53
A42,A54
A42,A55
A42,A56
A42,A57
A42,A58
A42,A59
A42,A60
A42,A61
A42,A62
A42,A63
A42,A64
A42,A65
A42,A66
A42,A69
A42,A71
A42,A72
A42,A73
A42,A74
A42,A83
A42,A84
A42,A85
A42,A86
A42,A87
A42,A88
A42,A89
A42,A90
A42,A91
A42,A92
A42,A93
A42,A94
A42,A95
A42,A96
A42,A97
